"ID","Make","Model","Year","Engine_Fuel_Type","Engine_HP","Engine_Cylinders","Transmission_Type","Driven_Wheels","Number_of_Doors","Market_Category","Vehicle_Size","Vehicle_Style","Highway_MPG","City_MPG","Age","Popularity","MSRP"
2969,"Chevrolet","Corvette",2015,"premium_unleaded",460,8,"manual","rear_wheel_drive",2,"High-Performance","Compact","Convertible",29,17,2,1385,11.1296131615032
4640,"Ford","F-250",1999,"regular_unleaded",220,8,"automatic","four_wheel_drive",2,"Unknown","Large","Pickup",15,12,18,5657,8.2630748358026
3292,"Nissan","Cube",2013,"regular_unleaded",122,4,"automatic","front_wheel_drive",4,"Unknown","Compact","Wagon",31,27,4,2009,9.78470401654616
10199,"Toyota","Tacoma",2016,"regular_unleaded",278,6,"automatic","four_wheel_drive",4,"Unknown","Compact","Pickup",23,18,1,2031,10.4136129311877
10150,"Suzuki","SX4",2013,"regular_unleaded",150,4,"manual","front_wheel_drive",4,"Unknown","Compact","Sedan",33,23,4,481,9.67060927212502
2334,"Dodge","Caravan",2006,"regular_unleaded",180,6,"automatic","front_wheel_drive",4,"Flex_Fuel","Large","Minivan",24,17,11,1851,9.90996651863384
5859,"Subaru","Impreza_WRX",2014,"premium_unleaded",265,4,"manual","all_wheel_drive",4,"Hatchback,Performance","Compact","Sedan",25,19,3,640,10.1656594908178
8830,"Mercedes-Benz","S-Class",2016,"premium_unleaded",449,8,"automatic","rear_wheel_drive",4,"Luxury,High-Performance","Large","Sedan",26,17,1,617,11.4684509748684
820,"Saab","9-3_Griffin",2012,"premium_unleaded",220,4,"automatic","all_wheel_drive",4,"Luxury","Midsize","Sedan",29,18,5,376,10.3857593688841
1294,"BMW","ActiveHybrid_5",2015,"premium_unleaded",335,6,"automatic","rear_wheel_drive",4,"Luxury,Performance,Hybrid","Large","Sedan",30,23,2,3916,11.0332754586727
5445,"Volkswagen","Golf",2015,"regular_unleaded",170,4,"manual","front_wheel_drive",2,"Hatchback","Compact","Sedan",37,25,2,873,9.86760127397172
1303,"Suzuki","Aerio",2005,"regular_unleaded",155,4,"manual","front_wheel_drive",4,"Unknown","Compact","Wagon",28,22,12,481,9.67715141032275
10872,"Acura","TSX_Sport_Wagon",2013,"premium_unleaded",201,4,"automatic","front_wheel_drive",4,"Luxury","Midsize","Wagon",30,22,4,204,10.4775696259371
4174,"Cadillac","Escalade",2017,"premium_unleaded",420,8,"automatic","four_wheel_drive",4,"Luxury,Performance","Large","SUV",20,15,0,1624,11.3021427033542
8984,"Hyundai","Santa_Fe_Sport",2017,"regular_unleaded",190,4,"automatic","all_wheel_drive",4,"Crossover","Midsize","SUV",26,20,0,1439,10.2072890068678
1832,"Volkswagen","Beetle_Convertible",2015,"regular_unleaded",170,4,"automatic","front_wheel_drive",2,"Unknown","Compact","Convertible",32,24,2,873,10.2210317792718
9325,"GMC","Sierra_1500",2015,"regular_unleaded",355,8,"automatic","four_wheel_drive",4,"Unknown","Large","Pickup",22,16,2,549,10.8802146532141
1246,"Honda","Accord",2016,"regular_unleaded",185,4,"manual","front_wheel_drive",4,"Unknown","Midsize","Sedan",34,23,1,2202,10.1495660751328
9746,"Hyundai","Sonata",2017,"regular_unleaded",245,4,"automatic","front_wheel_drive",4,"Performance","Midsize","Sedan",31,22,0,1439,10.1886664947698
7296,"Honda","Odyssey",2015,"regular_unleaded",248,6,"automatic","front_wheel_drive",4,"Unknown","Large","Minivan",28,19,2,2202,10.274188668208
2782,"Chevrolet","Colorado",2015,"regular_unleaded",305,6,"automatic","four_wheel_drive",4,"Unknown","Compact","Pickup",24,17,2,1385,10.4462477948325
11265,"Chevrolet","Venture",2005,"regular_unleaded",185,6,"automatic","front_wheel_drive",4,"Unknown","Midsize","Minivan",24,17,12,1385,10.3339704236196
2717,"Mercedes-Benz","CLK-Class",2008,"premium_unleaded",475,8,"automatic","rear_wheel_drive",2,"Factory_Tuner,Luxury,High-Performance","Compact","Convertible",18,12,9,617,11.4019939042629
3603,"Cadillac","DTS",2010,"premium_unleaded",275,8,"automatic","front_wheel_drive",4,"Luxury","Large","Sedan",23,15,7,1624,10.7424651813076
6701,"Lincoln","Mark_VIII",1996,"regular_unleaded",280,8,"automatic","rear_wheel_drive",2,"Luxury","Large","Coupe",24,16,21,61,7.60090245954208
8059,"Dodge","RAM_150",1992,"regular_unleaded",230,8,"manual","rear_wheel_drive",2,"Unknown","Large","Pickup",16,11,25,1851,7.60090245954208
3627,"Dodge","Durango",2016,"regular_unleaded",295,6,"automatic","rear_wheel_drive",4,"Crossover,Performance","Large","SUV",27,19,1,1851,10.6284967062448
9569,"Chevrolet","Silverado_1500",2016,"flex-fuel",285,6,"automatic","four_wheel_drive",2,"Flex_Fuel","Large","Pickup",22,17,1,1385,10.3524909626588
10583,"Chevrolet","Tracker",2002,"regular_unleaded",155,6,"automatic","rear_wheel_drive",4,"Unknown","Compact","SUV",19,17,15,1385,9.94438954385655
390,"Mazda","3",2016,"regular_unleaded",184,4,"manual","front_wheel_drive",4,"Performance","Compact","Sedan",37,25,1,586,10.116378727386
